name,address_line_1,address_line_2,city,state_or_region,postal_code,country_code,latitude,longitude
,6230 Ninth Pl,,Harvey,IL,60426,US,41.600094,-87.663175
,9445 Church Rd,,Evanston,IL,60202,US,42.048191,-87.698798
,6240 Third St,Apt 158,Aurora,IL,60505,US,41.755626,-88.339073
,2661 Sherman Ave,# 553,Peoria,IL,61602,US,40.691491,-89.604262
,976 Broad Pl,Ste 977,Naperville,IL,60540,US,41.765753,-88.133715
,4585 Madison Pl,,Chicago,IL,60640,US,41.892228,-87.629813
Lincoln Square,9283 Lake Pl,,Chicago,IL,60622,US,41.883780,-87.615342
,8411 Church Blvd,,Chicago,IL,60613,US,41.881959,-87.646170
,4375 State St,Apt 222,Chicago,IL,60622,US,41.863708,-87.611796
,6940 Jefferson Ave,,Midlothian,IL,60445,US,41.642882,-87.708121
,2314 Sherman Ln,,Decatur,IL,62523,US,39.842320,-88.967579
The Pinnacle,269 Hillside Way,Apt 559,Chicago,IL,60630,US,41.880103,-87.639441
,8713 River Rd,Ste 692,Chicago,IL,60640,US,41.895825,-87.616940
,9883 Kennedy Rd,Apt 822,Alsip,IL,60803,US,41.653512,-87.718824
,1312 Sixth Rd,Apt 98,Peoria,IL,61602,US,40.692277,-89.606572
,6308 Adams Rd,,Chicago,IL,60614,US,41.858998,-87.628308
,191 Laurel Ave,,Chicago,IL,60622,US,41.891298,-87.615987
,3938 Sunset Pl,,Springfield,IL,62701,US,39.788937,-89.654970
Lakeshore Drive Apts,1175 Monroe Ln,,Rockford,IL,61101,US,42.274526,-89.086144
,2074 Liberty Dr,Apt 781,Cicero,IL,60804,US,41.854055,-87.744955
,3890 Ash Way,,Decatur,IL,62523,US,39.859911,-88.956810
Westside Commons,5304 Lake Ave,Ste 243,Bolingbrook,IL,60440,US,41.680317,-88.080736
,5808 Hill Cir,,Alsip,IL,60803,US,41.665195,-87.746920
Cedar Ridge,7639 King Ave,,Harvey,IL,60426,US,41.620751,-87.642951
,8513 Division Rd,,Lansing,IL,60438,US,41.576686,-87.542524
,1854 Sycamore Rd,,Chicago,IL,60630,US,41.866731,-87.638918
Lakefront Towers,4940 First Ave,,Naperville,IL,60540,US,41.731563,-88.162381
,2998 Orchard Rd,,Oak Park,IL,60302,US,41.878359,-87.769185
,2175 Broad Rd,Apt 735,Chicago,IL,60641,US,41.896335,-87.642092
The Grand,6653 Commerce Ln,# 804,Chicago,IL,60613,US,41.892952,-87.626507
,1174 Madison Ave,,Champaign,IL,61820,US,40.109867,-88.250827
,9082 Park Pl,Apt 806,Chicago,IL,60613,US,41.863274,-87.610601
,2680 Lincoln Ave,# 71,Markham,IL,60428,US,41.575519,-87.676439
,7402 Brook Dr,Ste 896,Lansing,IL,60438,US,41.576729,-87.540782
,877 Central Way,,Rockford,IL,61101,US,42.279502,-89.101733
Lakeshore Drive Apts,499 State St,,Chicago,IL,60640,US,41.862844,-87.629431
,1845 High Blvd,# 205,Wheaton,IL,60187,US,41.850595,-88.117559
,2017 Sunrise Ave,,Naperville,IL,60540,US,41.754964,-88.145587
,2383 Park St,# 961,Joliet,IL,60432,US,41.524627,-88.093313
,7826 Grant Blvd,# 911,Joliet,IL,60432,US,41.514092,-88.073929
Sunrise Village,2559 University Rd,Unit 887,Decatur,IL,62523,US,39.855573,-88.942122
,3623 Valley Ct,,Chicago,IL,60657,US,41.885987,-87.616221
,2513 River Rd,,Chicago,IL,60618,US,41.874166,-87.643674
,5862 Main Ct,,Arlington Heights,IL,60004,US,42.073452,-87.979007
,5600 Oak Blvd,,Harvey,IL,60426,US,41.616067,-87.627187
The Heritage,8279 Union Pl,,Chicago,IL,60630,US,41.875139,-87.619919
,4169 Madison Ave,,Blue Island,IL,60406,US,41.655011,-87.698178
,1266 State St,,Oak Park,IL,60301,US,41.868090,-87.771471
,2945 Union Dr,,Springfield,IL,62701,US,39.800849,-89.638212
,4091 Commerce Ln,Unit 809,Mount Prospect,IL,60056,US,42.053146,-87.941836
,5268 Lake Way,# 49,Bolingbrook,IL,60440,US,41.687727,-88.068804
Lincoln Square,7284 Harvest Cir,Unit 683,Dolton,IL,60419,US,41.650338,-87.582649
Northgate Apartments,9887 Central St,Ste 440,Lansing,IL,60438,US,41.552403,-87.545459
,2031 Union Blvd,,Bolingbrook,IL,60440,US,41.697601,-88.077836
,2800 Lee St,,Orland Park,IL,60462,US,41.626755,-87.873203
,9348 High Ln,,Downers Grove,IL,60515,US,41.814019,-88.016533
,4723 Division St,Ste 463,Elgin,IL,60120,US,42.034376,-88.292407
,898 Jefferson St,,Joliet,IL,60432,US,41.528739,-88.073671
,7610 Creek Ct,,Blue Island,IL,60406,US,41.659912,-87.675858
,9697 Sixth Blvd,Apt 381,Peoria,IL,61602,US,40.682874,-89.593807
,2445 Cross Dr,,Waukegan,IL,60085,US,42.360333,-87.827360
Elmwood Manor,5005 Ridge Ave,,Naperville,IL,60540,US,41.740217,-88.136667
,283 Central Way,Ste 120,Des Plaines,IL,60016,US,42.051398,-87.880546
The Pinnacle,423 Adams Ct,,Schaumburg,IL,60193,US,42.050394,-88.102386
Elmwood Manor,3703 Birch Way,,Chicago,IL,60651,US,41.868308,-87.628158
,7438 North Cir,Apt 785,Chicago,IL,60647,US,41.878188,-87.611710
,5525 Washington Ct,Unit 68,Chicago,IL,60622,US,41.897297,-87.621495
,9260 North Ave,Apt 257,Dolton,IL,60419,US,41.649344,-87.606848
,1104 Harrison Ave,# 864,Urbana,IL,61801,US,40.113161,-88.199883
,6357 Washington Ave,Ste 216,Elgin,IL,60120,US,42.017388,-88.289030
,1019 Adams Ave,,Cicero,IL,60804,US,41.843980,-87.743046
,6169 Adams Ter,,Peoria,IL,61602,US,40.712493,-89.607469
,1451 Adams Pl,,Bloomington,IL,61701,US,40.487227,-89.001571
,5380 Lake Rd,,Springfield,IL,62701,US,39.787503,-89.643482
Sunrise Village,9995 Washington Ave,# 506,Calumet City,IL,60409,US,41.613711,-87.539109
,5497 Bridge Ave,,Chicago,IL,60657,US,41.886945,-87.629557
,8066 Hickory St,# 504,Elgin,IL,60123,US,42.016771,-88.268821
,8398 Madison Ln,,Normal,IL,61761,US,40.523457,-88.974436
,4816 Liberty St,,Peoria,IL,61602,US,40.703144,-89.587523
,6324 Evergreen Way,,Skokie,IL,60076,US,42.053260,-87.714088
,8569 Bluff St,,Calumet City,IL,60409,US,41.619840,-87.517906
,9579 Laurel St,Unit 386,Dolton,IL,60419,US,41.618883,-87.597456
,7712 Tenth Way,Ste 892,Springfield,IL,62701,US,39.786334,-89.660219
,4197 Forest St,,Schaumburg,IL,60193,US,42.043289,-88.102437
,593 Madison Cir,,Rockford,IL,61101,US,42.288720,-89.096077
,945 College Ave,# 158,Chicago,IL,60641,US,41.872206,-87.626788
,3577 East Ln,,Midlothian,IL,60445,US,41.628733,-87.742475
,6699 Washington Ave,,Oak Park,IL,60301,US,41.881300,-87.780917
,9483 Roosevelt Dr,# 575,Des Plaines,IL,60016,US,42.016182,-87.897779
The Pinnacle,1413 Harvest St,,Skokie,IL,60076,US,42.017717,-87.743144
,2815 Fern Rd,Unit 735,Blue Island,IL,60406,US,41.649098,-87.677577
,5199 Fourth Ave,# 94,Chicago,IL,60622,US,41.875304,-87.610808
,4047 Laurel Ln,Ste 705,Orland Park,IL,60462,US,41.637343,-87.849755
,501 West Ln,,Elgin,IL,60120,US,42.029855,-88.274583
,2088 Second Cir,,Evanston,IL,60202,US,42.036292,-87.671080
Park View Condos,7948 Sherman Ave,,Chicago,IL,60622,US,41.893386,-87.627596
,6480 North Dr,,Mount Prospect,IL,60056,US,42.072614,-87.927360
,9497 State Ave,,Chicago,IL,60640,US,41.881682,-87.638700
,4419 Sherman Blvd,Unit 922,Elgin,IL,60123,US,42.021286,-88.293264
,6223 King Rd,,Chicago,IL,60657,US,41.862230,-87.636105
